#base "_base_assault_rifle.txt"
#base "_base_mags_energy.txt"
#base "_base_barrels_medium.txt"

WeaponData
{
	// General
	"printname"   						        "#WPN_NEMESIS"
    "OnWeaponDeactivate"                        "OnWeaponDeactivate_Nemesis"
    "OnWeaponHeatStateChanged"                  "OnWeaponHeatStateChanged_Nemesis"

	// energy weapons have less drop
    "projectile_drag_coefficient" 		        "0.0"
   	"projectile_gravity_scale"			        "1"
   	"projectile_ricochet_max_count"		        "0"

    "projectile_trail_effect_0_1p" 		        "P_tracer_projectile_smg_blue"
   	"projectile_trail_effect_0_3p" 		        "P_tracer_projectile_smg_blue"
   	"tracer_effect"   					        "P_tracer_proj_sniper_energy"
   	"impact_effect_table" 				        "pulse_bullet"

    "sound_dryfire"						        "hemlok_dryfire"
    "sound_pickup"						        "wpn_pickup_Rifle_1P"
    "sound_trigger_pull"				        "Weapon_Hemlok_Trigger"
    "sound_zoom_in"						        "weapon_havoc_ads_in"
    "sound_zoom_out"					        "weapon_havoc_ads_out"

    "fx_muzzle_flash_view"				        "P_wpn_muzzleflash_nemesis_FP"
	"fx_muzzle_flash_world"						"P_wpn_muzzleflash_nemesis"
    "fx_muzzle_flash_attach"			        "muzzle_flash"

    // no shell ejects for this weapon
    "fx_shell_eject_view"				        ""
    "fx_shell_eject_world"				        ""

    // Sound
    "fire_sound_1_player_1p" 			            ""
    "fire_sound_1_player_3p" 			            ""

	"fire_sound_partial_burst_player_1p"			"weapon_nemesis_singleshot_1p"
	"fire_sound_partial_burst_player_3p"			"weapon_nemesis_singleshot_3p"

    "burst_or_looping_fire_sound_start_1p"			"weapon_nemesis_burst_1p"
    "burst_or_looping_fire_sound_middle_1p"			"weapon_nemesis_burst_1p_env"
    "burst_or_looping_fire_sound_end_1p"			""

    "burst_or_looping_fire_sound_start_3p"			"weapon_nemesis_burst_3p"
    "burst_or_looping_fire_sound_middle_3p"			""
    "burst_or_looping_fire_sound_end_3p"			""

    "burst_or_looping_fire_sound_start_npc"			"weapon_nemesis_burst_3p"
    "burst_or_looping_fire_sound_middle_npc"		""
    "burst_or_looping_fire_sound_end_npc"			""

    "low_ammo_sound_name_1"					    "nemesis_lowammo_shot1"
    "low_ammo_sound_name_2"					    "nemesis_lowammo_shot2"
    "low_ammo_sound_name_3"					    "nemesis_lowammo_shot2"
    "low_ammo_sound_name_4"					    "nemesis_lowammo_shot2"
    "low_ammo_sound_name_5"					    "nemesis_lowammo_shot2"
    "low_ammo_sound_name_6"					    "nemesis_lowammo_shot3"
    "low_ammo_sound_name_7"					    "nemesis_lowammo_shot3"
    "low_ammo_sound_name_8"					    "nemesis_lowammo_shot3"
    "low_ammo_sound_name_9"					    "nemesis_lowammo_shot3"

    //test
    //"ammo_clip_size"   					        "1"

	"ammo_clip_size"   					        "20"
    "ammo_per_shot" 				            "1"
    "ammo_min_to_fire"					        "1"
    "low_ammo_fraction" 					    "0.4"

    "ammo_default_total"					    "0"
    "ammo_stockpile_max"					    "20"
    "ammo_no_remove_from_stockpile"			    "0"
    "uses_ammo_pool"					        "1"

    "ammo_clip_random_loss_on_npc_drop_chunksize"		"4"


	// Damage - When Used by Players
    "damage_near_value"   					    "17"
    "damage_far_value"					        "17"
    "damage_very_far_value"					    "17"
   	"damage_near_value_titanarmor"				"17"
    "damage_far_value_titanarmor" 				"17"
    "damage_very_far_value_titanarmor" 			"17"
	"damage_rodeo" 						        "100"

	"damage_leg_scale"                          "0.75"



    	// NPC
	"proficiency_poor_spreadscale"				"5.0"
	"proficiency_average_spreadscale" 			"3.5"
	"proficiency_good_spreadscale"				"3.0"
	"proficiency_very_good_spreadscale"   		"2.5"
	"proficiency_perfect_spreadscale"   		"1.75"

	"proficiency_poor_additional_rest"			"0.2"
	"proficiency_average_additional_rest"		"0.2"
	"proficiency_good_additional_rest"			"0.2"

	"npc_min_engage_range"					    "0"
	"npc_min_engage_range_heavy_armor"			"500"

	"npc_min_burst"   					        "4"
	"npc_max_burst"   					        "4"
	"npc_rest_time_between_bursts_min"			"0.7"
	"npc_rest_time_between_bursts_max"			"1"

	// Behavior
	"fire_rate"   						        "18"
	"burst_fire_count"					        "4"
    "burst_fire_delay"					        "0.21"  //"0.32"
    //"burst_fire_delay_ramp_max"               "0.1"
    //"burst_fire_delay_ramp_bursts"            "3"

    "viewmodel_offset_hip"                      "0 0 0" //0.95 -0.2 0.25 These are the desired offset. Currently reverted as per Allan.Z Request
	"viewmodel_offset_ads"					    "0 0 0"

	"dof_zoom_nearDepthStart"				    "-0.5"
	"dof_zoom_nearDepthEnd"					    "5.05"
	"dof_nearDepthStart"					    "0.0"
	"dof_nearDepthEnd"					        "0.0"

	"deployfirst_time"					        "1.3"

	"reload_time" 						        "2.7"
	"reload_time_late1"					        "1.76" //1.7
	"reloadempty_time"					        "3.0"
	"reloadempty_time_late1"				    "2.0" //2.2
	"reloadempty_time_late2"				    "1.2" //1.6
	"vortex_refire_behavior"  				    "bullet"
	"allow_empty_fire"					        "0"
	"reload_enabled"  					        "1"
	"allow_empty_click"   					    "1"
	"empty_reload_only"   					    "0"
	"allow_headshots" 					        "1"
	"damage_headshot_scale"					    "1.75"
	"primary_fire_does_not_block_sprint"		"0"

	// View Kick
	"viewkick_pattern"                          "burstenergyar"

    "viewkick_spring"                           "burstenergyar_vkp"
    "viewkick_spring_hot"                       "burstenergyar_vkp_hot"

    "viewkick_spring_heatpershot"               "1"
    "viewkick_spring_cooldown_holdtime"         "0.08"
    "viewkick_spring_cooldown_fadetime"         "0.3"

    "viewmodel_spring_jolt"                     "autofire_viewmodel_jolt"
    "viewmodel_jolt_scale"                      "1"
    "viewmodel_jolt_backwardPerShot"            "-0.2"
    "viewmodel_jolt_roll"                       "0 4 0.0"
    "viewmodel_jolt_side"                       "0 0.05 0"

	"viewkick_pitch_base" 					    "1.0"
	"viewkick_pitch_random"   				    "1.0"
	"viewkick_pitch_softScale"				    "1.9"   //2.1
	"viewkick_pitch_hardScale"				    "0.9"

	"viewkick_yaw_base"   					    "1.0"
	"viewkick_yaw_random" 					    "1.0"
	"viewkick_yaw_random_innerexclude"		    "0.05"   //0
	"viewkick_yaw_softScale"  				    "1.4"  //.65
	"viewkick_yaw_hardScale"  				    "0.4"

	"viewkick_roll_base"  					    "0.8"
	"viewkick_roll_randomMin" 				    "-0.2"
	"viewkick_roll_randomMax" 				    "0.2"
	"viewkick_roll_softScale" 				    "0.8"
	"viewkick_roll_hardScale" 				    "0.3"

	"viewkick_hipfire_weaponFraction" 		    "0.05"
	"viewkick_hipfire_weaponFraction_vmScale"   "0.95"
	"viewkick_ads_weaponFraction" 			    "0.0"
	"viewkick_ads_weaponFraction_vmScale" 	    "1.0"

	"viewkick_scale_firstshot_hipfire"		    "1.0"
	"viewkick_scale_min_hipfire"  			    "1.0"
	"viewkick_scale_max_hipfire"  			    "1.0"
	"viewkick_scale_firstshot_ads"			    "1.0"
	"viewkick_scale_min_ads"  				    "1.0"
	"viewkick_scale_max_ads"  				    "1.0"
	"viewkick_scale_valuePerShot" 			    "1"
	"viewkick_scale_pitch_valueLerpStart"       "0"
	"viewkick_scale_pitch_valueLerpEnd" 	    "6"
	"viewkick_scale_yaw_valueLerpStart"   	    "0"
	"viewkick_scale_yaw_valueLerpEnd" 		    "6"
	"viewkick_scale_valueDecayDelay"  		    "0.3"
    "viewkick_scale_valueDecayRate"   	        "50"

	"viewkick_perm_pitch_base" 				    "0.0"
	"viewkick_perm_pitch_random"   			    "0.0"
	"viewkick_perm_yaw_base"   				    "0.0"
	"viewkick_perm_yaw_random" 				    "0.0"
	"viewkick_perm_yaw_random_innerexclude"	    "0.0"

	"viewmodel_shake_forward"				    "0.2"

  //Currently taking from default AR
   // "spread_stand_hip"								"4.5"
   // "spread_stand_hip_run"							"6.0"
   // "spread_stand_hip_sprint"                       "7.0"
   // "spread_crouch_hip"   							"3.5"
   // "spread_air_hip"  								"7.0"

   // "spread_moving_increase_rate" 					"3"
   // "spread_moving_decay_rate" 						"10.5"

   // "spread_kick_on_fire_stand_hip"   				"0.875"
   // "spread_kick_on_fire_crouch_hip"  				"0.583"
   // "spread_kick_on_fire_air_hip" 					"0.875"

   // "spread_max_kick_stand_hip"   					"7.0"
   // "spread_max_kick_crouch_hip"  					"5.5"
   // "spread_max_kick_air_hip" 						"7.0"

   // "spread_decay_delay"  							"0.25"
   // "spread_decay_rate"   							"10"

	//setting to "0" so it's tunable in Bakery
	"sprintcycle_time"					        "0"

	// Bodygroups:
	"clip_bodygroup"					        "r101_magazine"
	"clip_bodygroup_index_shown"				"0"
	"clip_bodygroup_index_hidden"				"1"
	"clip_bodygroup_show_for_milestone_0"		"1"
	"clip_bodygroup_show_for_milestone_1"		"0"
	"clip_bodygroup_show_for_milestone_2"		"1"
	"clip_bodygroup_show_for_milestone_3"		"1"

	dof_zoom_focusArea_horizontal				0.061
	dof_zoom_focusArea_top					    0.064
	dof_zoom_focusArea_bottom				    -0.016

	"viewmodel_ads_rui_bottomleft_attachment"		"RUI_BL_CROSSHAIR_R301"
	"viewmodel_ads_centerpoint_attachment"      	"ADS_CENTER_SIGHT_R301"


	Mods
	{
        fully_heated
        {
             "burst_fire_delay"		        "0.18"
        }

		//altfire
		//{
		//	"mod_activity_modifier"		"fire_select"
		//
		//
		//}

		barrel_stabilizer_l4_flash_hider
		{
			"fx_muzzle_flash_view"		"wpn_muzzleflash_assault_sup_FP"
			"fx_muzzle_flash_world"		"wpn_muzzleflash_assault_sup"
		}

		energy_mag_l1
		{
			"ammo_clip_size" 		"24"
		}
		energy_mag_l2
		{
			"ammo_clip_size" 		"28"
		}
		energy_mag_l3
		{
			"ammo_clip_size" 		"32"
		}
        energy_mag_l4
        {
            "ammo_clip_size"   		"32"
        }

        optic_cq_hcog_classic
        {
            "dof_zoom_nearDepthStart"                   "1"
            "dof_zoom_nearDepthEnd"                     "6"
        }
	}


	"ui1_enable"		"1"
	"ui1_draw_cloaked"	"1"
	UiData1
	{
		"ui"					"ui/nemesis_reticle"
		"mesh"					"models/weapons/attachments/nemesis_rui_upper"
		Args
		{
			vis				        player_zoomfrac
			ammo				    weapon_ammo
			clipSize			    weapon_clipSize
			centerOffset            weapon_ads_center_offset
		}
	}

	"ui2_enable"		"1"
	UiData2
	{
		"ui"					"ui/nemesis_ammo_counter"
		"mesh"					"models/weapons/attachments/nemesis_rui_lower"
		Args
		{
			vis				        player_zoomfrac
			ammo				    weapon_ammo
			clipSize			    weapon_clipSize
            energizeFrac                weapon_script_float_0
		}
	}


	active_crosshair_count				"1"
	rui_crosshair_index				    "0"

	RUI_CrosshairData
	{
		DefaultArgs
		{
			adjustedSpread			        weapon_spread
			adsFrac 			            player_zoomFrac
			isSprinting			            player_is_sprinting
			isReloading			            weapon_is_reloading
			teamColor			            crosshair_team_color
			isAmped				            weapon_is_amped
			crosshairMovementX          	crosshair_movement_x
			crosshairMovementY          	crosshair_movement_y
		}

		Crosshair_1
		{
			"ui"				    "ui/crosshair_tri"
			"base_spread"			"0.0"
			Args
			{
			//isFiring		        weapon_is_firing
				playerFov             player_fov
			}
		}
	}
}
