#base "_base_ability_tactical.txt"

WeaponData
{
	// General
	"printname"   									"#WPN_GRENADE_ELECTRIC_SMOKE"
	"fx_muzzle_flash_attach"						"L_HAND"

	"player_hands_attachment"						"L_FOREARM"
    "player_hands_effect"							"P_ps_gauntlet_loop_l"

	"grenade_disc_throw"							"0"

	"critical_hit"									"0"

	// Sounds
	"sound_throw_1p"								"Catalyst_Tactical_Launch_1p"
	"sound_deploy_1p"								"Catalyst_Tactical_Draw_1p"
	"sound_throw_3p"								"Catalyst_Tactical_Launch_3p"
	"sound_deploy_3p"								"Catalyst_Tactical_Draw_3p"
	"sound_grenade_projectile"						"Catalyst_Tactical_FerroBall_Whoosh_3p"
	"idle_sound_player_1p"							"Catalyst_Tactical_Draw_Idle_1p"

	// Damage - When Used by Players
	"damage_type" 									"burn"
	"damage_near_distance"							"128"
	"damage_far_distance" 							"128"
	"damage_near_value"   							"0"
	"damage_far_value"								"0"
	"damage_near_value_titanarmor"					"0"
	"damage_far_value_titanarmor" 					"0"
	"impulse_force"   								"0"
	"explosion_shake_radius"						"500"
	"explosion_shake_amplitude"						"5"
	"explosion_shake_frequency"						"45"
	"explosion_shake_duration"						"0.1"
	"damage_flags"									"DF_RAGDOLL | DF_EXPLOSION"

	"grenade_hull_mins"                             "-3.0 -3.0 -3.0"
    	"grenade_hull_maxs"                             "3.0 3.0 3.0"


	"ammo_clip_size"   								"50"
	"ammo_default_total"							"50"
	"ammo_display"									"bar"
	"ammo_min_to_fire"								"25"
	"ammo_per_shot"									"25"
	"ammo_stockpile_max"							"50"
	"regen_ammo_refill_rate"						"1"
	"regen_ammo_refill_start_delay"					"0.0"

	"grenade_arc_indicator_bounce_count"			"1"
	"grenade_arc_indicator_effect"					"P_arc_red"

	"explosion_damage"								"20"
	"explosion_damage_heavy_armor"					"20"
	"npc_explosion_damage"							"20"
	"npc_explosion_damage_heavy_armor"				"20"
	"explosion_inner_radius"  						"256"
	"explosionradius" 								"256"

	// Behavior
	"cooldown_type"									"ammo_instant"
	"max_cook_time"									"10000"
	"grenade_fuse_time"								"0"
    "start_fuse_on_launch"                          "0"
	"grenade_ignition_time"                         "5.0"
	"fire_rate"   									"5"
	"deploy_time" 									"0.05"
	"raise_time"  									"0.1"
	"vortex_refire_behavior"  						"grenade"
	"allow_empty_fire"								"0"
	"reload_enabled"  								"0"
	"allow_empty_click"   							"1"
	"empty_reload_only"   							"0"
	"trigger_snipercam"   							"0"
	"allow_headshots" 								"0"

	"grenade_touch_triggers_on_impact"				"1"
	"grenade_bounce_vel_frac_shallow"				"0.1"
	"grenade_bounce_vel_frac_sharp"					"0.1"
	"grenade_bounce_vel_frac_along_normal"			"0.1"
	"grenade_bounce_randomness"						"0.0"
	"grenade_bounce_extra_vertical_randomness"		"0.1"
	"grenade_roll_vel_frac_per_second"				"0.1"

	"projectile_ricochet_max_count"                 "50"

	"aimassist_disable_hipfire"						"1"
	"aimassist_disable_ads"							"1"
	"toss_pullout_time"								"0.2"
	"toss_time"										"0.6" //toss release is at frame 0 in animSeq
	//"toss_overhead_time"							"0.6"
	"projectile_launch_speed"						"1500"
	"projectile_launch_pitch_offset"				"8"

	"red_crosshair_range" 							"0"

	// PS5 Adaptive Triggers
	"r_trig_custom_mode"							"100"

	// Spread

	"ammo_suck_behavior"							"primary_weapons"

	// View Kick
	"viewkick_spring" 								"pistol"

	// Bob
	"bob_cycle_time"  								"0.4"
	"bob_vert_dist"   								"0.19"
	"bob_horz_dist"   								"0.1"
	"bob_max_speed"   								"150"
	//"bob_pitch"   									"0.75"
	//"bob_yaw" 										"-1.7"
	//"bob_roll"										"1.2"

	// View Drift
	"viewdrift_hipfire_stand_scale_pitch" 			"0.325"
	"viewdrift_hipfire_crouch_scale_pitch"			"0.275"
	"viewdrift_hipfire_air_scale_pitch"   			"0.5"
	"viewdrift_hipfire_stand_scale_yaw"   			"0.12"
	"viewdrift_hipfire_crouch_scale_yaw"  			"0.10"
	"viewdrift_hipfire_air_scale_yaw" 				"0.22"
	"viewdrift_hipfire_speed_pitch"   				"0.6"
	"viewdrift_hipfire_speed_yaw" 					"1.22"

	// Rumble
	"rumble"  										"3"

	// Sway
	"sway_rotate_attach"  							"jx_c_pov"
	"sway_min_x"  									"-0.3"
	"sway_min_y"  									"-0.5"
	"sway_min_z"  									"-0.5"
	"sway_max_x"  									"0.3"
	"sway_max_y"  									"0.5"
	"sway_max_z"  									"0.1"
	"sway_min_pitch"  								"-3"
	"sway_min_yaw"									"-3.5"
	"sway_min_roll"   								"-1"
	"sway_max_pitch"  								"3"
	"sway_max_yaw"									"3.5"
	"sway_max_roll"   								"2"
	"sway_translate_gain" 							"4"
	"sway_rotate_gain"								"7"
	"sway_move_forward_translate_x"   				"0"
	"sway_move_forward_translate_z"   				"-0.5"
	"sway_move_back_translate_x"  					"-2"
	"sway_move_back_translate_z"  					"-1"
	"sway_move_left_translate_y"  					"-1"
	"sway_move_left_translate_z"  					"-0.5"
	"sway_move_left_rotate_roll"  					"-1"
	"sway_move_right_translate_y" 					"1"
	"sway_move_right_translate_z" 					"-0.5"
	"sway_move_right_rotate_roll" 					"2"
	"sway_move_up_translate_z"						"-1"
	"sway_move_down_translate_z"  					"1"
	"sway_turn_left_rotate_yaw"   					"-2"
	"sway_turn_right_rotate_yaw"  					"2"
	"sway_turn_up_rotate_pitch"   					"2"
	"sway_turn_down_rotate_pitch" 					"-2"
	"sway_turn_angle_factor"  						"-0.5"
	"sway_turn_origin_factor" 						"0"
	"sway_turn_angle_factor_zoomed"   				"0"
	"sway_turn_origin_factor_zoomed"  				"0.05"
	"sway_move_angle_factor"  						"0.5"
	"sway_move_origin_factor" 						"0.5"
	"sway_move_angle_factor_zoomed"   				"0"
	"sway_move_origin_factor_zoomed"  				"0.03"
	"sway_gain"   									"15.0"

	// NPC

	// WeaponED Unhandled Key/Values and custom script Key/Values
	"fire_anim_rate"  								"1"
	"sprintcycle_time"								".55"

	Mods
	{
	    survival_armor_cooldown_mod
        {
            "regen_ammo_refill_rate"    "*1.25"
        }

                            
                      
         
                                 
                                          
                                         
                                       
                                          
         

                               
         
                                                               
                                                             
                                                              
         
           

        survival_finite_ordnance
        {
        }

        burn_card_weapon_mod
        {
        }
	}

	active_crosshair_count				"2"
	rui_crosshair_index					"0"

	"ordnance_crosshair_always_on_start_index"	"1"

	RUI_CrosshairData
	{
		DefaultArgs
		{
			adjustedSpread				weapon_spread
			adsFrac 					player_zoomFrac
			isSprinting					player_is_sprinting
			isReloading					weapon_is_reloading
			teamColor					crosshair_team_color
			isAmped						weapon_is_amped
			crosshairMovementX          crosshair_movement_x
			crosshairMovementY          crosshair_movement_y
		}

		Crosshair_1
		{
			"ui"						"ui/crosshair_esmoke"
			"base_spread"				"0.0"
			Args
			{
				isFiring				weapon_is_firing
			}
		}

		Crosshair_2
		{
			"ui"						"ui/crosshair_ordnance"
			Args
			{
			    regenRate               "eWeaponVar.regen_ammo_refill_rate"
			    ammoFrac                "progress_weapon_clip_ammo_frac"
			    dryfireTime             "weapon_latest_dryfire_time"
			}
		}
	}
}
